"VarName"	"TimeString"	"VarValue"	"Validity"	"Time_ms"
"izlazna_vrednost_objekta"	"2026-09-22 15:30:49"	79.96176	1	46287646398.3565
"izlazna_vrednost_objekta"	"2026-09-22 15:30:49"	79.97331	1	46287646399.4329
"izlazna_vrednost_objekta"	"2026-09-22 15:30:49"	79.97881	1	46287646400.5324
"izlazna_vrednost_objekta"	"2026-09-22 15:30:49"	79.98473	1	46287646401.8287
"izlazna_vrednost_objekta"	"2026-09-22 15:30:49"	79.98756	1	46287646402.9167
"izlazna_vrednost_objekta"	"2026-09-22 15:30:49"	79.9906	1	46287646404.0278
"izlazna_vrednost_objekta"	"2026-09-22 15:30:49"	79.99205	1	46287646405.2778
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99361	1	46287646406.3773
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99435	1	46287646407.4769
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99516	1	46287646408.588
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99554	1	46287646409.8495
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99596	1	46287646410.9491
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99615	1	46287646412.2222
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99636	1	46287646413.3218
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99646	1	46287646414.4213
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99657	1	46287646415.6713
"izlazna_vrednost_objekta"	"2026-09-22 15:30:50"	79.99662	1	46287646416.7593
"izlazna_vrednost_objekta"	"2026-09-22 15:30:51"	79.99667	1	46287646417.8472
"izlazna_vrednost_objekta"	"2026-09-22 15:30:51"	79.9967	1	46287646419.1088
"izlazna_vrednost_objekta"	"2026-09-22 15:30:51"	79.99673	1	46287646420.2083
"izlazna_vrednost_objekta"	"2026-09-22 15:30:51"	79.99674	1	46287646421.3194
"izlazna_vrednost_objekta"	"2026-09-22 15:30:51"	79.99677	1	46287646422.5926
"$RT_OFF$"	"2026-09-22 15:30:56"	0	2	46287646481.5046
"$RT_COUNT$"	82				
